iter	MultiClass
120	0.7037299645
121	0.7026457411
122	0.702078414
123	0.7015509312
124	0.7007636408
125	0.69989345
126	0.6982541975
127	0.6974482206
128	0.6967551435
129	0.6964831553
130	0.6962285396
131	0.6955568634
132	0.6939994617
133	0.6935568395
134	0.6927617825
135	0.6926037392
136	0.6920591607
137	0.6916015268
138	0.6903167879
139	0.6899944444
140	0.6892179319
141	0.6883687632
142	0.6878022835
143	0.6872950168
144	0.6862800861
145	0.6858153898
146	0.6843267118
147	0.6836852704
148	0.6829867131
149	0.6820610142
150	0.6812888179
151	0.6805295689
152	0.6789644381
153	0.6784461479
154	0.6779673891
155	0.6763247598
156	0.6756711886
157	0.6749738048
158	0.6742686241
159	0.6738359464
160	0.6731939335
161	0.6727094391
162	0.6721300265
163	0.6712043085
164	0.6705864974
165	0.6695937053
166	0.6686924473
167	0.6681281757
168	0.6678938087
169	0.6668456958
170	0.6663572478
171	0.6656116627
172	0.6645153484
173	0.6638802237
174	0.6632367527
175	0.6624109351
176	0.6613932391
177	0.6609045265
178	0.6594312494
179	0.658122994
180	0.6575306189
181	0.6565601227
182	0.6559808996
183	0.6555662649
184	0.6552092365
185	0.6551183621
186	0.6544385132
187	0.6534841307
188	0.6529826192
189	0.6517634153
190	0.6514120228
191	0.6507584442
192	0.6498720297
193	0.6492060963
194	0.648466126
195	0.6479005515
196	0.6473800335
197	0.6467309143
198	0.6460575827
199	0.6452947444
200	0.6449012326
201	0.6442474754
202	0.6437248096
203	0.643296812
204	0.6424535127
205	0.6420415948
206	0.6413174494
207	0.6406556511
208	0.6402048392
209	0.6388038391
210	0.6384168359
211	0.6375450916
212	0.6371087141
213	0.6361073729
214	0.6353126079
215	0.634784874
216	0.6342614484
217	0.6335549053
218	0.6331860415
219	0.6326792595
220	0.6317346995
221	0.6311435167
222	0.6301380895
223	0.629717335
224	0.6290623118
225	0.6280659322
226	0.627783419
227	0.6274481968
228	0.6268200402
229	0.6265542735
230	0.6263762972
231	0.6259762722
232	0.6255929548
233	0.6246131834
234	0.6244459363
235	0.6233530227
236	0.6229680379
237	0.6224483579
238	0.6218950693
239	0.6215505049
240	0.6204532153
241	0.6197915528
242	0.6189019259
243	0.6184956432
244	0.61753141
245	0.6172094923
246	0.6167963915
247	0.6160103212
248	0.6153519628
249	0.6151496935
250	0.614867056
251	0.6141370518
252	0.6136158926
253	0.6129072951
254	0.6124182206
255	0.6116858199
256	0.6111207295
257	0.610644518
258	0.6104076713
259	0.6101074142
260	0.6093122084
261	0.609071007
262	0.6082053719
263	0.6074771627
264	0.607283502
265	0.6064768957
266	0.605964073
267	0.6052680771
268	0.6043071535
269	0.6036498971
270	0.6033552105
271	0.6030673712
272	0.6027957317
273	0.6021216354
274	0.6019275078
275	0.6012192914
276	0.6007870428
277	0.5999235355
278	0.5995289438
279	0.5990275637
280	0.598908114
281	0.5987399911
282	0.5984177465
283	0.5973862989
284	0.5969380952
285	0.5965692775
286	0.5955957265
287	0.5952698934
288	0.594212374
289	0.5939347764
290	0.5936934533
291	0.5928569479
292	0.5922736307
293	0.5916112367
294	0.5905930523
295	0.5899588631
296	0.5891254715
297	0.5887547614
298	0.5882536575
299	0.5868191727
300	0.5865378941
301	0.5862049861
302	0.585626063
303	0.5852541935
304	0.5848696947
305	0.5842162785
306	0.5840858646
307	0.5837237659
308	0.5833861813
309	0.5829853712
310	0.5824773588
311	0.5820297398
312	0.5814971283
313	0.5811728406
314	0.5805051002
315	0.5800687782
316	0.5797668699
317	0.5785386537
318	0.5784232774
319	0.5779267231
320	0.5773597478
321	0.5770458994
322	0.5765841162
323	0.5760618361
324	0.5758227454
325	0.5755161618
326	0.5749819399
327	0.5743622477
328	0.5735079717
329	0.572914512
330	0.5723975172
331	0.5719342318
332	0.5712583033
333	0.5706337677
334	0.5701668742
335	0.5698254688
336	0.5690706264
337	0.5684653524
338	0.568129213
339	0.5679633816
340	0.5676862276
341	0.566896518
342	0.5668234705
343	0.5666203807
344	0.5658758699
345	0.565347895
346	0.5651366452
347	0.5644105402
348	0.5642200159
349	0.5638335313
350	0.563560597
351	0.5631138353
352	0.5628988477
353	0.5624365927
354	0.5623288093
355	0.5621771507
356	0.5619668399
357	0.5614446319
358	0.5610526231
359	0.560346397
360	0.5597327777
361	0.5594377063
362	0.5591271772
363	0.5581433012
364	0.5573186751
365	0.5569110329
366	0.5562832375
367	0.5559868569
368	0.5556893595
369	0.555344284
370	0.5548411357
371	0.5546575398
372	0.5543437238
373	0.5539672229
374	0.5531044265
375	0.55260271
376	0.552413865
377	0.5522139665
378	0.5513692518
379	0.5508932499
380	0.5501434986
381	0.5496404443
382	0.5487911195
383	0.5485261294
384	0.5483127537
385	0.5480598721
386	0.5476056614
387	0.546966975
388	0.5464885617
389	0.5460597402
390	0.54583091
391	0.5452724926
392	0.5450245126
393	0.5448490116
394	0.5442393022
395	0.5436034285
396	0.5426677782
397	0.5424467735
398	0.542096766
399	0.541595809
400	0.5410955411
401	0.5406000871
402	0.5402104592
403	0.5392729172
404	0.5391800115
405	0.5387793683
406	0.5382997713
407	0.537751695
408	0.5373676277
409	0.5372842694
410	0.5367555564
411	0.5360519357
412	0.5355809834
413	0.5353428721
414	0.5350287828
415	0.5349083981
416	0.5341349698
417	0.5337133128
418	0.5330246539
419	0.5325655305
420	0.5322205466
421	0.5320798958
422	0.5313734387
423	0.5308582384
424	0.5305559508
425	0.5304464142
426	0.5301022493
427	0.5296414275
428	0.5289885247
429	0.5280786228
430	0.5275269731
431	0.5267727866
432	0.5262381829
433	0.5261549895
434	0.5259094713
435	0.5254344289
436	0.5249523799
437	0.5243197898
438	0.5241329656
439	0.52360835
440	0.5232757583
441	0.522712638
442	0.5224478172
443	0.521906773
444	0.5213809523
445	0.5208614124
446	0.5207140162
447	0.5204086692
448	0.5199816613
449	0.519683686
450	0.5192165936
451	0.5190326724
452	0.5181482557
453	0.5178145999
454	0.5174925248
455	0.5170642516
456	0.5164528235
457	0.5160532668
458	0.5156526167
459	0.5151114941
460	0.5143544897
461	0.5138836474
462	0.5133447531
463	0.5130034078
464	0.5126271429
465	0.5122217861
466	0.511786213
467	0.5115920234
468	0.5114158549
469	0.5106664615
470	0.5102633569
471	0.5098854985
472	0.5095650004
473	0.5092590653
474	0.5088344372
475	0.508441928
476	0.5080321617
477	0.507701086
478	0.507065445
479	0.5065922375
480	0.5059603756
481	0.5054174306
482	0.5050022185
483	0.5048655296
484	0.5043177363
485	0.5042554982
486	0.5039259785
487	0.5036322839
488	0.5035030386
489	0.503261346
490	0.5030696528
491	0.5028197767
492	0.502293736
493	0.5020001829
494	0.5015308827
495	0.5012583914
496	0.5009111633
497	0.5007314789
498	0.5005970375
499	0.500105932
500	0.4997606793
501	0.4992514619
502	0.4989448112
503	0.4986336719
504	0.4984641703
505	0.4980812013
506	0.4977117255
507	0.4975183971
508	0.4971336415
509	0.4965638526
510	0.4957228075
511	0.4953871096
512	0.4949065486
513	0.4946631404
514	0.4941718647
515	0.493813104
516	0.4932984427
517	0.4928505163
518	0.4921245379
519	0.4914894199
520	0.4907267882
521	0.4901316501
522	0.4900010215
523	0.4896251078
524	0.4892283196
525	0.4890213983
526	0.4885878032
527	0.4881253741
528	0.4879951026
529	0.4875954786
530	0.4874967579
531	0.4867847197
532	0.4864109685
533	0.4861948687
534	0.485716723
535	0.4847525778
536	0.484366069
537	0.484116345
538	0.4837889084
539	0.4831443183
540	0.4826336092
541	0.4822889923
542	0.4819726038
543	0.4814855659
544	0.4812332799
545	0.4807373372
546	0.4800526688
547	0.479850399
548	0.4794134692
549	0.4791505548
550	0.4788259085
551	0.478496498
552	0.4782106265
553	0.4777029827
554	0.4771403812
555	0.4765951425
556	0.4762992339
557	0.4759639966
558	0.4757473763
559	0.4752141035
560	0.4749700747
561	0.4747388214
562	0.4742524533
563	0.4736873479
564	0.4734106513
565	0.4732824922
566	0.4730902355
567	0.4729533002
568	0.4725901343
569	0.4723211026
570	0.4720639783
571	0.471684773
572	0.4713409656
573	0.4708538162
574	0.470530489
575	0.4701071978
576	0.4695323914
577	0.4690916047
578	0.468812041
579	0.4686197526
580	0.4683957622
581	0.4681651197
582	0.4677463951
583	0.4673533444
584	0.4669462246
585	0.466737656
586	0.4661330592
587	0.4659096389
588	0.4652614733
589	0.4651315629
590	0.4647843678
591	0.4646496446
592	0.4643594612
593	0.4639024454
594	0.4637897917
595	0.463295534
596	0.4631479568
597	0.4626172358
598	0.4623198913
599	0.462134092
600	0.4614767743
601	0.4607047927
602	0.4601450546
603	0.4597108891
604	0.4594104455
605	0.4592552842
606	0.4591175248
607	0.4588309978
608	0.4583164677
609	0.4577396897
610	0.4575656742
611	0.4571752298
612	0.4568890275
613	0.4562296532
614	0.4561322637
615	0.45576865
616	0.455343482
617	0.4551390747
618	0.4549312086
619	0.4546297878
620	0.4542892519
621	0.4539638506
622	0.45361823
623	0.4532641715
624	0.4530219866
625	0.4524338954
626	0.4520226932
627	0.4517792718
628	0.4515999057
629	0.4512424782
630	0.4506345901
631	0.4502146744
632	0.4498421238
633	0.4497366627
634	0.4495773953
635	0.4491319275
636	0.4488063567
637	0.4485447934
638	0.4484268287
639	0.4480267218
640	0.4475477813
641	0.4471589909
642	0.44700153
643	0.4467748569
644	0.446192037
645	0.4457879814
646	0.4455900733
647	0.4453153134
648	0.4447890798
649	0.4445457
650	0.4442622863
651	0.4441496334
652	0.4435116186
653	0.4428481349
654	0.4427375834
655	0.4423884471
656	0.4419803401
657	0.4415421289
658	0.4410593746
659	0.4403956888
660	0.4399896678
661	0.4396930799
662	0.4395104335
663	0.4393016079
664	0.4390632651
665	0.4386493056
666	0.4383567843
667	0.4381911498
668	0.4377203445
669	0.4374136362
670	0.4371820841
671	0.4368674205
672	0.436408424
673	0.436051173
674	0.4357858244
675	0.4352391317
676	0.4346744391
677	0.4342723704
678	0.4338140139
679	0.4335343488
680	0.4332565503
681	0.4330135201
682	0.4326541062
683	0.4321857596
684	0.4319573147
685	0.4315082319
686	0.4309503477
687	0.4307662572
688	0.4303133571
689	0.4298772656
690	0.4292546895
691	0.4287158699
692	0.4284389483
693	0.4279467009
694	0.4277692286
695	0.4275852381
696	0.4274608169
697	0.4270073452
698	0.4268035356
699	0.4266068733
700	0.4264338607
701	0.4260633183
702	0.4256710938
703	0.4253785481
704	0.4251738193
705	0.4250000183
706	0.4243307293
707	0.4238171459
708	0.4237685252
709	0.4236477607
710	0.4231481256
711	0.4228612105
712	0.4223368832
713	0.4220605417
714	0.4219402583
715	0.4216559148
716	0.421507449
717	0.4213539264
718	0.4213194049
719	0.4208864183
720	0.4207158917
721	0.4204692803
722	0.4199516497
723	0.4197632078
724	0.4193169123
725	0.4191196903
726	0.4187557616
727	0.4184679273
728	0.4183689802
729	0.418080458
730	0.4177582881
731	0.417417719
732	0.4172368482
733	0.4170709677
734	0.4168177112
735	0.4165013549
736	0.4162185709
737	0.4155340071
738	0.4151664038
739	0.4146014808
740	0.4142373331
741	0.4140736688
742	0.4137261785
743	0.4134001911
744	0.413310643
745	0.4131320836
746	0.4130434211
747	0.4127244728
748	0.412419128
749	0.4121403767
750	0.4120055554
751	0.4117963263
752	0.4116495156
753	0.4112413719
754	0.4111092481
755	0.4105165948
756	0.4102539497
757	0.4099187199
758	0.4097552695
759	0.4092983716
760	0.4089861692
761	0.4087655115
762	0.4085862053
763	0.4082904197
764	0.4079796643
765	0.4076511561
766	0.4074655176
767	0.4071073745
768	0.4069518362
769	0.4065270785
770	0.4061935582
771	0.4060430705
772	0.4056528521
773	0.4054078604
774	0.4051682411
775	0.4047303915
776	0.404543213
777	0.4043038583
778	0.4040368782
779	0.4039354818
780	0.4036504686
781	0.4032639158
782	0.402870399
783	0.4026140374
784	0.4023014387
785	0.4018361463
786	0.4017565626
787	0.4014514689
788	0.4011272582
789	0.4006522494
790	0.4002636067
791	0.4001262922
792	0.3997876533
793	0.399613976
794	0.3992138977
795	0.3990552827
796	0.3988782841
797	0.3983708137
798	0.3980829509
799	0.3979507607
800	0.3976240142
801	0.3972808121
802	0.3969845764
803	0.3969260793
804	0.3967206563
805	0.396648818
806	0.3963156096
807	0.3960690209
808	0.3957704827
809	0.3956867445
810	0.3953138056
811	0.3950104882
812	0.3947139447
813	0.3944915864
814	0.3941594523
815	0.3936382706
816	0.3933227212
817	0.3929170097
818	0.3920242985
819	0.3918161761
820	0.3914693065
821	0.3912454083
822	0.3911448664
823	0.3908455769
824	0.3907097127
825	0.3904950515
826	0.3902259735
827	0.3896633742
828	0.3894734084
829	0.3893669939
830	0.3891293536
831	0.3889185295
832	0.3887800546
833	0.3886516259
834	0.3884893553
835	0.388165717
836	0.3881286231
837	0.3879182283
838	0.3875803205
839	0.3873482493
840	0.3871081509
841	0.3869084511
842	0.3867789745
843	0.3863767712
844	0.3862368697
845	0.3860695168
846	0.3858840096
847	0.3856752485
848	0.3855449564
849	0.3853442004
850	0.3851249481
851	0.3847066155
852	0.3843005158
853	0.3842091551
854	0.3838494978
855	0.3836758124
856	0.3835439753
857	0.3832119115
858	0.3830151498
859	0.3824207883
860	0.3821693542
861	0.3819372112
862	0.3816846895
863	0.3814015453
864	0.3810013473
865	0.3804837378
866	0.3803149391
867	0.3800952021
868	0.3797669787
869	0.3796028619
870	0.3791690836
871	0.3791018284
872	0.3787768049
873	0.3786694549
874	0.3782640355
875	0.3780465731
876	0.377824029
877	0.3774883623
878	0.3773578198
879	0.3770472127
880	0.3765703962
881	0.3764131917
882	0.3759706844
883	0.3756060382
884	0.3750623936
885	0.3747862884
886	0.3743865039
887	0.3741740456
888	0.37392472
889	0.373649385
890	0.3734926765
891	0.3733464115
892	0.3732997177
893	0.3730190957
894	0.3726767798
895	0.3724864884
896	0.3722704978
897	0.3719337561
898	0.3714574761
899	0.3712264145
900	0.3711050284
901	0.3710361535
902	0.3705037679
903	0.3703669413
904	0.370085929
905	0.3700026101
906	0.3697998993
907	0.3694113508
908	0.3690673157
909	0.3689594685
910	0.368701992
911	0.3683985189
912	0.3683747373
913	0.3682694781
914	0.3679866197
915	0.3677977038
916	0.3677328365
917	0.3675616791
918	0.3673390801
919	0.3671448425
920	0.3668958225
921	0.3666705088
922	0.3665193059
923	0.3662642394
924	0.3661427727
925	0.3660876797
926	0.3656806278
927	0.3654949722
928	0.3653593649
929	0.3650538887
930	0.3649925986
931	0.3646009221
932	0.3644737468
933	0.3643332322
934	0.3637530807
935	0.3636334142
936	0.3631773673
937	0.3628325094
938	0.3627305792
939	0.3626912851
940	0.3623125518
941	0.3618571418
942	0.361519709
943	0.3613618214
944	0.3611718557
945	0.3610103872
946	0.3606954866
947	0.3602480222
948	0.3599788579
949	0.3596414124
950	0.3595231686
951	0.3592323556
952	0.3587351948
953	0.3586077386
954	0.3583971216
955	0.3582911302
956	0.3581619438
957	0.3579043971
958	0.3577807543
959	0.3571922453
960	0.3569120758
961	0.3565723391
962	0.3563160551
963	0.3561756973
964	0.3558227612
965	0.3556932158
966	0.3554864046
967	0.355267394
968	0.3551776674
969	0.3548978138
970	0.3547486217
971	0.3546787687
972	0.3544174947
973	0.3540295565
974	0.3535784457
975	0.3531888209
976	0.3531233324
977	0.3526267899
978	0.35245853
979	0.352131859
980	0.3518891771
981	0.3514129482
982	0.3512975961
983	0.3511785526
984	0.3508958144
985	0.3506585983
986	0.3506344485
987	0.3504220707
988	0.3503986066
989	0.3501765614
990	0.3500333186
991	0.3495602847
992	0.3490172567
993	0.3488093158
994	0.3485953775
995	0.3483467154
996	0.3482239332
997	0.3480404136
998	0.3476282995
999	0.347359742
