iter	Passed	Remaining
417	2758	3840
418	2763	3832
419	2771	3827
420	2778	3820
421	2785	3815
422	2790	3807
423	2796	3798
424	2802	3791
425	2807	3783
426	2813	3774
427	2819	3768
428	2824	3759
429	2830	3752
430	2837	3746
431	2843	3738
432	2851	3733
433	2857	3726
434	2863	3719
435	2872	3715
436	2878	3708
437	2885	3702
438	2891	3694
439	2897	3687
440	2903	3680
441	2909	3672
442	2916	3666
443	2921	3658
444	2927	3651
445	2937	3648
446	2943	3641
447	2950	3635
448	2955	3627
449	2961	3619
450	2968	3612
451	2973	3605
452	2981	3599
453	2988	3593
454	2994	3587
455	3001	3580
456	3006	3572
457	3013	3565
458	3018	3558
459	3025	3551
460	3031	3544
461	3037	3536
462	3043	3529
463	3050	3523
464	3056	3516
465	3063	3510
466	3068	3502
467	3076	3497
468	3082	3489
469	3088	3482
470	3095	3477
471	3100	3468
472	3107	3462
473	3114	3455
474	3121	3449
475	3126	3441
476	3132	3434
477	3138	3427
478	3145	3421
479	3150	3413
480	3156	3405
481	3163	3400
482	3169	3392
483	3176	3386
484	3181	3378
485	3187	3370
486	3193	3363
487	3198	3355
488	3205	3349
489	3211	3342
490	3217	3335
491	3224	3329
492	3233	3325
493	3242	3321
494	3252	3317
495	3259	3312
496	3265	3304
497	3272	3298
498	3277	3291
499	3284	3284
500	3291	3278
501	3298	3272
502	3305	3265
503	3310	3257
504	3316	3251
505	3322	3243
506	3328	3236
507	3335	3230
508	3341	3223
509	3347	3216
510	3354	3210
511	3360	3202
512	3367	3196
513	3372	3188
514	3377	3181
515	3384	3174
516	3390	3167
517	3397	3161
518	3404	3155
519	3411	3149
520	3418	3142
521	3423	3135
522	3430	3128
523	3436	3121
524	3444	3116
525	3453	3112
526	3462	3107
527	3468	3100
528	3474	3093
529	3482	3088
530	3488	3080
531	3494	3073
532	3500	3066
533	3505	3059
534	3513	3053
535	3520	3047
536	3530	3043
537	3536	3036
538	3544	3031
539	3549	3023
540	3556	3017
541	3562	3010
542	3568	3003
543	3576	2997
544	3581	2990
545	3588	2984
546	3595	2977
547	3601	2970
548	3611	2967
549	3617	2959
550	3625	2954
551	3631	2947
552	3638	2940
553	3644	2934
554	3650	2926
555	3658	2921
556	3664	2914
557	3671	2908
558	3678	2901
559	3684	2895
560	3691	2888
561	3696	2881
562	3703	2874
563	3709	2867
564	3715	2860
565	3723	2854
566	3730	2848
567	3737	2842
568	3743	2835
569	3749	2828
570	3755	2821
571	3760	2813
572	3766	2806
573	3772	2800
574	3778	2792
575	3784	2785
576	3790	2778
577	3796	2771
578	3802	2765
579	3809	2758
580	3816	2752
581	3822	2745
582	3828	2738
583	3834	2731
584	3840	2724
585	3846	2717
586	3853	2710
587	3858	2703
588	3864	2696
589	3871	2690
590	3877	2683
591	3884	2676
592	3889	2669
593	3895	2662
594	3901	2655
595	3906	2647
596	3912	2641
597	3919	2634
598	3924	2627
599	3930	2620
600	3936	2613
601	3942	2606
602	3948	2599
603	3953	2591
604	3959	2585
605	3965	2578
606	3970	2570
607	3976	2564
608	3984	2557
609	3990	2551
610	3997	2545
611	4002	2537
612	4009	2531
613	4016	2524
614	4022	2518
615	4030	2512
616	4036	2505
617	4045	2500
618	4051	2493
619	4058	2487
620	4064	2480
621	4069	2473
622	4076	2466
623	4082	2459
624	4088	2453
625	4095	2446
626	4103	2440
627	4110	2434
628	4115	2427
629	4124	2422
630	4129	2415
631	4136	2408
632	4143	2402
633	4152	2397
634	4160	2391
635	4165	2384
636	4174	2378
637	4179	2371
638	4187	2365
639	4194	2359
640	4200	2352
641	4209	2347
642	4214	2340
643	4223	2334
644	4229	2327
645	4237	2321
646	4243	2315
647	4250	2309
648	4258	2303
649	4264	2296
650	4272	2290
651	4277	2283
652	4284	2276
653	4290	2269
654	4296	2263
655	4304	2257
656	4309	2249
657	4316	2243
658	4322	2236
659	4328	2229
660	4334	2222
661	4340	2215
662	4345	2208
663	4351	2201
664	4357	2195
665	4364	2188
666	4371	2182
667	4376	2175
668	4384	2169
669	4389	2161
670	4394	2154
671	4400	2148
672	4405	2140
673	4413	2134
674	4420	2128
675	4425	2121
676	4432	2114
677	4437	2107
678	4443	2100
679	4449	2094
680	4455	2086
681	4461	2080
682	4467	2073
683	4473	2066
684	4480	2060
685	4486	2053
686	4492	2046
687	4498	2040
688	4504	2033
689	4511	2026
690	4517	2019
691	4523	2013
692	4529	2006
693	4535	1999
694	4541	1992
695	4547	1986
696	4552	1979
697	4559	1972
698	4564	1965
699	4570	1958
700	4577	1952
701	4583	1945
702	4590	1939
703	4596	1932
704	4601	1925
705	4608	1919
706	4613	1912
707	4619	1905
708	4625	1898
709	4631	1891
710	4636	1884
711	4643	1878
712	4649	1871
713	4656	1865
714	4662	1858
715	4667	1851
716	4675	1845
717	4680	1838
718	4686	1831
719	4693	1825
720	4698	1818
721	4704	1811
722	4710	1804
723	4715	1797
724	4723	1791
725	4728	1784
726	4735	1778
727	4741	1771
728	4746	1764
729	4753	1758
730	4758	1751
731	4764	1744
732	4771	1737
733	4776	1731
734	4785	1725
735	4791	1718
736	4797	1711
737	4805	1705
738	4810	1698
739	4817	1692
740	4823	1685
741	4829	1679
742	4835	1672
743	4841	1665
744	4847	1659
745	4854	1652
746	4859	1645
747	4867	1639
748	4872	1632
749	4878	1626
750	4884	1619
751	4890	1612
752	4896	1606
753	4902	1599
754	4908	1592
755	4915	1586
756	4920	1579
757	4927	1573
758	4934	1566
759	4942	1560
760	4949	1554
761	4954	1547
762	4961	1541
763	4967	1534
764	4972	1527
765	4981	1521
766	4986	1514
767	4993	1508
768	4999	1501
769	5005	1495
770	5013	1489
771	5018	1482
772	5024	1475
773	5031	1469
774	5037	1462
775	5044	1456
776	5049	1449
777	5055	1442
778	5062	1436
779	5068	1429
780	5075	1423
781	5080	1416
782	5085	1409
783	5092	1403
784	5098	1396
785	5106	1390
786	5112	1383
787	5119	1377
788	5126	1370
789	5131	1364
790	5137	1357
791	5143	1350
792	5148	1343
793	5154	1337
794	5160	1330
795	5166	1323
796	5173	1317
797	5179	1310
798	5185	1304
799	5191	1297
800	5196	1291
801	5203	1284
802	5208	1277
803	5214	1271
804	5220	1264
805	5225	1257
806	5231	1251
807	5237	1244
808	5242	1237
809	5249	1231
810	5255	1224
811	5261	1218
812	5267	1211
813	5273	1204
814	5278	1198
815	5284	1191
816	5290	1184
817	5295	1178
818	5302	1171
819	5308	1165
820	5314	1158
821	5320	1152
822	5325	1145
823	5331	1138
824	5337	1132
825	5342	1125
826	5348	1118
827	5353	1112
828	5359	1105
829	5366	1099
830	5371	1092
831	5377	1085
832	5383	1079
833	5389	1072
834	5396	1066
835	5401	1059
836	5407	1053
837	5414	1046
838	5420	1040
839	5426	1033
840	5432	1027
841	5437	1020
842	5445	1014
843	5450	1007
844	5456	1000
845	5464	994
846	5470	988
847	5478	981
848	5484	975
849	5489	968
850	5496	962
851	5501	955
852	5510	949
853	5515	942
854	5521	936
855	5527	929
856	5532	923
857	5539	916
