iter	Logloss
0	0.6855634742
1	0.6797104991
2	0.6727993759
3	0.6654514704
4	0.6593841518
5	0.6524334628
6	0.6459047029
7	0.6406617355
8	0.6356786395
9	0.6298307568
10	0.6250561898
11	0.6199854372
12	0.6151586386
13	0.6105216556
14	0.6049837838
15	0.6002806173
16	0.5963156618
17	0.5925972985
18	0.5894975834
19	0.5858580515
20	0.5825954178
21	0.5785601188
22	0.5749279974
23	0.572252794
24	0.5690875704
25	0.565669686
26	0.5626006965
27	0.5595029233
28	0.5560579153
29	0.5527626158
30	0.549255328
31	0.5466433202
32	0.544373835
33	0.5421030859
34	0.5399945153
35	0.5380876205
36	0.5354845802
37	0.5335606747
38	0.5313416788
39	0.5292994478
40	0.5276701302
41	0.5253996615
42	0.5237711874
43	0.5216918401
44	0.5193682859
45	0.517926889
46	0.5159852487
47	0.514043012
48	0.5125258425
49	0.5107516126
50	0.509301106
51	0.5076602314
52	0.5067587316
53	0.5052706079
54	0.504151181
55	0.5028152958
56	0.5014533399
57	0.5003071137
58	0.4993000099
59	0.4984254737
60	0.4976029212
61	0.4966205395
62	0.4953857829
63	0.4940597278
64	0.4931298472
65	0.4918984368
66	0.4908595364
67	0.4900088636
68	0.4886115542
69	0.487674003
70	0.4866461001
71	0.4856017946
72	0.4846756726
73	0.4838542816
74	0.4828574749
75	0.4819035216
76	0.4808858176
77	0.4799715581
78	0.4792614044
79	0.4784715861
80	0.477778343
81	0.4769955701
82	0.4764165361
83	0.4757672569
84	0.475101301
85	0.4743152742
86	0.4737500442
87	0.4731215126
88	0.4721656524
89	0.4717851435
90	0.4712355015
91	0.4706056695
92	0.4698068955
93	0.4693733948
94	0.4689249234
95	0.4683946124
96	0.4679085211
97	0.4673758581
98	0.4668580894
99	0.4665649355
100	0.4659618258
101	0.4652381685
102	0.4648975168
103	0.4644619033
104	0.4640754111
105	0.4635843953
106	0.4630373415
107	0.4623177896
108	0.4618438566
109	0.4612185024
110	0.4605107867
111	0.459939684
112	0.459571825
113	0.4590706695
114	0.4584783802
115	0.4578147395
116	0.4575473699
117	0.4569271543
118	0.4564583369
119	0.4557472562
120	0.4552663678
121	0.4549667684
122	0.4545046964
123	0.454129593
124	0.4534458712
125	0.4531463913
126	0.4529148549
127	0.4523371279
128	0.4518247566
129	0.4514865023
130	0.4509087203
131	0.4504031949
132	0.4499000073
133	0.4495071202
134	0.4492240619
135	0.4488043711
136	0.4483926007
137	0.4479485337
138	0.4476237111
139	0.4471947041
140	0.4467005236
141	0.4462671669
142	0.4458967447
143	0.4454405219
144	0.4450844003
145	0.444797362
146	0.4442621881
147	0.4436812685
148	0.4431596207
149	0.4427689069
150	0.4423272575
151	0.4420751213
152	0.4416615161
153	0.4414104278
